Player,Score
LoLNebula,193437.60307941414
Yihou,193299.76223301256
vysuals,177207.3010915562
RhinoFeeder,177156.47669681328
Scruffy,176459.61799911514
MonStahLer,173242.9580326798
JackmanMarcus,172589.43851182895
ConstructiveCynicism,172203.4444038471
Kuroshi94,172156.70961031577
slo_runs,171874.65481429457
valigo,167748.2008642467
HCDarkNight,166369.98780711956
Aribuge,165555.3325663082
cerpintext,164496.25732688268
ins0mnia,163978.61016767548
SkateKing,162806.83761260824
Xirtsym,161556.0613536578
DUUScarlet,160981.23542015557
homothety,160404.86889135442
violetblight,159523.04652797847
MIT_Battery,158896.91532622869
pest,158873.91056179008
QueenMagnolia,158717.7218028391
Ax2u,158336.2380367366
Skurry,157956.74171205205
StratSus,157890.78810032172
Paum,157762.8861235745
Boring_what,157176.94059414655
Liusyflat_ab,157107.76759813115
Ybelieve,156997.15263183563
XeroGoFast,156876.4562428946
Wolfcub_,156538.538756879
aksel_sk,155385.4665039622
chromeducks,155275.11151779615
Priidik,154792.08026248927
meemeee,154078.71057999888
BrotherWildness,152982.27542570714
JokullKr,152913.99303067918
SawaYoshi,152890.61139386237
Blue,152420.79419517313
MyPetCactus,152281.5828669853
larrythecarry,151899.7570622552
Mason_SR,149155.2484075858
CarolWind,148406.6531110658
azere,147881.85831947438
magmabob,146666.24164939352
3141z_,145856.26767634373
Green_Yogurt,145147.4838483888
jishybish,144551.85115336816
MrSir71,143690.92035173712
hazelness,143646.7828827244
kastel,143497.93258083466
QuantumDuck,143327.25217425046
natt,142500.7230478941
Theturns,141870.63909718074
Eduboy25,141779.40309334968
mys3cretskill,140640.7945987029
Deviltifa,137610.63089893514
pantaloonybin,137252.84994089027
LamproL,137107.62684258402
WasabiKnight_,136734.49143636832
Hy9er,136668.0032023816
binary01103,136332.09824428518
Quatopine,136059.85193248742
Mrks_,134391.47250371333
Trinomi,134138.18620593945
Alejsxy,134117.36067227818
NianGao,132950.34585704605
Dornoc429,132833.9289902459
Vord,132451.59872105854
Tremen,132074.05555132552
unyo,131346.10346562217
ScottyBVB,131117.25273804276
Murihoro,131055.00021378454
Nat3rTater,130995.9098111679
klapudo,130771.6930181328
BeginBeganBegun,130660.33694076524
ApocalypseCow,130548.95278014906
Skitter_,130154.46545213433
jeffisepic,130131.77233610445
arctanln2,130105.25608530806
Nephistoss,129994.83592287879
RiFle,129864.95818062151
slaurent,129847.24284731911
NerfIrelia73,129705.28353736919
mathulu,129686.07437825746
koralreef,129463.79683417386
buzhidao,129363.84746304265
DryEye,129308.482119442
Fababulle,128722.239289626
Anonymous (1),128554.38700404522
tinkerknight,128481.80544101808
slyzian,128283.0449629662
Ekkoet01,128269.10531423055
Pisces,128225.76355277457
Pharest,127896.00629606086
deaBaby,127704.87315158028
siddflippy,127014.33885205435
PsyKlone,126826.52300443687
daotmb,126494.3414038644
jxtxun,126033.57743246277
Icefire39,125888.74422970503
spcola,125753.93395760168
SevAeris,124939.39743081282
fireb0rn,124861.92117538051
Insertnamehere_,123683.2644474573
